Tempo em min:sec,Temperatura desejada do tanque,Temperatura atual do tanque,Nivel desejado do tanque,Nivel atual do Tanque
00:07.21,30.000000,20.631197,1.500000,1.948250
00:07.22,30.000000,20.631197,1.500000,1.948250
00:07.23,30.000000,20.631197,1.500000,1.948250
00:07.24,30.000000,20.631197,1.500000,1.948250
00:07.25,30.000000,20.631197,1.500000,1.948250
00:07.26,30.000000,20.631197,1.500000,1.948250
00:07.27,30.000000,20.639823,1.500000,1.947690
00:07.28,30.000000,20.639823,1.500000,1.947690
00:07.29,30.000000,20.639823,1.500000,1.947690
00:07.30,30.000000,20.639823,1.500000,1.947690
00:07.31,30.000000,20.639823,1.500000,1.947690
00:07.32,30.000000,20.639823,1.500000,1.947690
